target_sent,context_len_uninterr,PPL_base,PPL_w_context_uninterr
0,0,0,0
"<|endoftext|>Ask any young couple how long their marriage will last, and chances are, they'll say forever, says Clark University psychologist Jeffrey Jensen Arnett, PhD, an expert on emerging adulthood.",41,595.0745239257812,595.0745239257812
"<|endoftext|>In the latest , he found that 86 percent of the more than 1,000 18- to 29-year-old Americans surveyed expect their marriages to last a lifetime.",74,66.97679138183594,28.00102424621582
"<|endoftext|>The participants who didn't, Arnett presumes, don't plan to marry at all.",89,254.26954650878906,48.02153015136719
<|endoftext|>Yet statistics suggest that many of these young optimists are only kidding themselves.,101,322.12847900390625,87.5741195678711
"<|endoftext|>According to the latest national data from the National Center for Health Statistics (NCHS), the likelihood that a couple will celebrate their 20th wedding anniversary today isn't much greater than a coin toss: 52 percent for women and 56 percent for men.",147,97.0340805053711,27.162296295166016
"<|endoftext|>Although the rate of divorce has declined slowly and steadily since the early 1980s, the rate of marriage has diminished rapidly, with more people choosing to marry later in life (see ).",181,40.00221252441406,17.809213638305664
"<|endoftext|>As a result, experts routinely estimate that between 40 percent and 50 percent of marriages today will end in divorce.",201,87.36933135986328,14.40518856048584
"<|endoftext|>For decades, psychologists have been trying to answer the key question: What's going on when two people who once said ""I do"" to a lifetime together decide they're better off apart?",238,228.8632354736328,72.77619171142578
"<|endoftext|>Now, thanks to longitudinal studies of thousands of couples and emerging research on previously understudied partnerships, one answer is becoming more apparent: Why some couples stick together isn't so much a coin toss as a science.",277,220.6436004638672,125.65833282470703
"<|endoftext|>""Today, we have a pretty good idea of what's likely to make for a good marriage,"" says Stony Brook University researcher Arthur Aron, PhD.",308,136.95677185058594,39.493194580078125
"<|endoftext|>Some of those factors, including ethnic background and socioeconomic status, are beyond a couple's control.",327,129.6738739013672,34.20245361328125
"<|endoftext|>But, say psychologists, there are many behaviors, such as how a couple talks and fights and even the type of dates they go on, that can be learned and practiced — and can give a pair a fighting chance at 'til death do they part.",376,177.85205078125,92.01632690429688
"<|endoftext|>Several demographic factors predict how well a marriage might fare, according to NCHS data.",390,916.5116577148438,87.989013671875
"<|endoftext|>One is ethnicity: Asian women and foreign-born Hispanic men, for example, have the highest chance of the demographic groups studied that their marriages will last 20 years (70 percent), while black women have the lowest rate of reaching the two-decade mark (37 percent).",444,60.343505859375,35.8636589050293
"<|endoftext|>For white men and women as well as black men, the chances are just more than 50 percent, NCHS reports.",465,175.09429931640625,29.119754791259766
<|endoftext|>Education also plays a role.,470,151.77511596679688,6.458168983459473
"<|endoftext|>Women with at least a bachelor's degree have a 78 percent shot that their marriages will last 20 years, compared with a 41 percent chance among women with only a high school diploma, according to the NCHS data.",510,118.76353454589844,22.81475067138672
<|endoftext|>Age at marriage is also a predictor of marital success: Couples who wed in their teens are more likely to divorce than those who wait to marry.,537,111.94381713867188,20.233245849609375
"<|endoftext|>In addition, a person whose first child is born after the wedding is more likely to stay married than one who enters a marriage already a parent.",564,89.42140197753906,18.263092041015625
<|endoftext|>Another factor is finances.,567,490.270263671875,61.3594856262207
"<|endoftext|>A 2009 report from the University of Virginia's National Marriage Project, for example, showed that couples with no assets are 70 percent more likely to divorce within three years than couples with $10,000 in assets.",607,35.07418441772461,15.711697578430176
"<|endoftext|>That comes as no surprise to Terri Orbuch, PhD, of the University of Michigan and Oakland University, who says arguments over money — how to spend, save and split it — plague even well-off couples.",647,273.6087341308594,88.07678985595703
"<|endoftext|>In her work with the Early Years of Marriage Project, a longitudinal study of 373 couples who married in 1986 (funded by the National Institutes of Health), Orbuch has found that seven out of 10 pairs name finances a cause of relationship trouble.",693,187.36451721191406,79.0639419555664
"<|endoftext|>""Money is the No.",697,509.8407287597656,276.0458068847656
